generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.72579,-510844,10,0
1000,0,-35.5505,-28262.8,2.97744,0.216
2000,0,-30.1388,-8058.22,2.51461,0.295
3000,1,-108.187,-5996.1,4.15326,0.469
4000,2,-113.929,-5993.45,1.04629,0.36041
5000,0,-118.174,-6007.73,0.880671,0.461
6000,0,-120.474,-6046.16,0.75751,0.463333
7000,5,-116.939,-6062.35,4.2552,0.403371
8000,2,-117.575,-6060.05,3.09597,0.485
9000,7,-111.599,-6034.37,10.4451,0.464333
10000,3,-121.755,-6052.71,5.89579,0.4738
11000,0,-125.075,-6068.73,0.0224889,0.4765
12000,8,-206.546,-6026.9,12.4721,0.383801
13000,6,-129.818,-6098.98,6.84812,0.4868
14000,9,-209.4,-6001.36,12.7864,0.456
15000,11,-217.348,-5978.49,11.6046,0.469
16000,10,-219.797,-5989.14,11.2817,0.437
17000,2,-127.065,-6082.52,2.61608,0.48475
18000,2,-114.624,-6072.11,0.773122,0.46175
19000,2,-122.921,-6077.41,3.97936,0.491
20000,5,-212.219,-5988.1,7.38178,0.44525
21000,3,-116.856,-6075,4.24393,0.4655
22000,3,-133.387,-6073.88,3.13625,0.478
23000,6,-229.21,-5998.74,5.22555,0.445333
24000,5,-211.051,-5997.24,4.85187,0.451
25000,2,-124.802,-6074.54,4.75015,0.456167
26000,0,-118.281,-6084.18,1.01433,0.478
27000,0,-130.023,-6081.35,0.824235,0.472
28000,7,-118.668,-6087.2,6.25638,0.478091
29000,3,-126.096,-6092.09,1.27889,0.485
30000,5,-123.292,-6077.63,2.69676,0.474
31000,1,-121.505,-6075.07,2.14119,0.48
32000,3,-131.058,-6076.98,4.20079,0.471
33000,7,-128.317,-6084.81,8.59652,0.483636
34000,10,-112.299,-6096.24,10.9315,0.482
35000,15,-120.874,-6081.51,13.6028,0.505
36000,3,-126.606,-6110.81,2.12798,0.471111
37000,1,-127.51,-6121.41,2.07027,0.491
38000,0,-128.212,-6116.69,0.440588,0.49
39000,4,-130.936,-6106.25,2.75349,0.459
40000,0,-133.48,-6107.58,0.449227,0.494
41000,1,-132.317,-6122.85,3.82002,0.487778
42000,1,-127.283,-6085,0.744998,0.474
43000,10,-136.708,-6069.49,11.3375,0.492
44000,6,-126.862,-6062.16,6.28639,0.5
45000,2,-117.864,-6108.82,2.1563,0.472667
46000,1,-129.554,-6095.22,4.54308,0.4712
47000,0,-128.563,-6081.65,3.1156,0.494
48000,6,-206.415,-6006.85,2.39681,0.459667
49000,12,-205.37,-6002.22,13.5222,0.466
50000,10,-203.389,-6014.51,12.5739,0.484
51000,15,-200.994,-6007.4,18.5482,0.48
52000,19,-195.612,-6031.83,16.0535,0.479
53000,16,-194.105,-6035.15,15.8328,0.474
54000,5,-128.517,-6128.95,5.86432,0.4984
55000,1,-126.502,-6123.21,1.7727,0.514
56000,2,-126.398,-6095.37,1.10547,0.521
57000,4,-215.134,-6052.06,3.78009,0.4635
58000,4,-221.551,-6056.22,5.56586,0.492
59000,1,-129.489,-6144.65,0.138961,0.490667
60000,9,-133.535,-6131.87,7.64126,0.496
61000,5,-128.983,-6135.6,3.40465,0.521
62000,6,-219.287,-6042.73,6.61747,0.479
63000,7,-229.803,-6027.48,6.02558,0.463
64000,10,-220.123,-6040.18,14.862,0.463
65000,13,-211.964,-6038.12,13.8893,0.456
66000,7,-133.286,-6093.99,8.33916,0.4938
67000,8,-120.395,-6091.58,12.378,0.501
68000,2,-128.551,-6098.42,2.49527,0.512
69000,2,-128.781,-6110.6,1.86218,0.461
70000,2,-128.002,-6122.45,4.88432,0.49
71000,4,-134.614,-6119.68,4.68256,0.489
72000,5,-121.16,-6110.2,4.79769,0.486
73000,5,-126.108,-6102.02,6.14278,0.489846
74000,7,-124.613,-6063.87,12.6003,0.4925
75000,4,-128.164,-6098.43,5.14504,0.4935
76000,5,-123.398,-6097.83,5.07949,0.483903
77000,8,-131.037,-6086.17,7.49936,0.482
78000,7,-135.228,-6087.86,10.1221,0.5015
79000,1,-128.382,-6098.84,1.29443,0.498
80000,5,-126.394,-6110.45,5.01117,0.492
81000,1,-129.633,-6136.34,2.02335,0.472
82000,12,-138.96,-6108.91,6.89994,0.496286
83000,11,-136.137,-6145.75,8.69522,0.491
84000,6,-129.127,-6115.18,9.65378,0.493143
85000,20,-205.513,-6034.64,17.6472,0.4622
86000,11,-126.393,-6131.97,15.5174,0.486333
87000,10,-129.94,-6139.07,6.47189,0.499
88000,8,-133.741,-6121.89,5.96169,0.491
89000,7,-131.649,-6127.62,5.92774,0.489
90000,6,-129.05,-6129.06,3.12497,0.501
91000,9,-125.312,-6127.97,8.18315,0.496
92000,5,-127.089,-6139.83,2.04982,0.502
93000,4,-131.145,-6132.08,5.21568,0.513
94000,8,-126.752,-6115.56,5.0361,0.497
95000,4,-126.95,-6108.33,2.85813,0.518
96000,9,-223.665,-6065.06,11.0932,0.477545
97000,2,-127.445,-6124.2,3.02786,0.484563
98000,2,-126.339,-6135,6.23886,0.469
99000,7,-143.803,-6121.35,11.5104,0.456
100000,2,-139.36,-6133.21,2.54821,0.506
101000,5,-215.249,-6075.69,9.91335,0.4708
102000,6,-229.754,-6050.75,5.19307,0.438
103000,8,-216.092,-6071.97,6.79763,0.463
104000,10,-222.562,-6060.38,8.00699,0.47
105000,5,-136.03,-6099.92,6.983,0.48819
106000,8,-128.565,-6078.67,8.23395,0.487167
107000,5,-135.248,-6107.43,5.97687,0.513
108000,8,-116.425,-6100.83,6.51614,0.491
109000,4,-120.822,-6099.24,3.61544,0.455
110000,3,-137.24,-6127.3,1.24495,0.4948
111000,4,-132.735,-6097.69,4.97571,0.4885
112000,8,-130.947,-6092.71,9.42993,0.472
113000,10,-126.176,-6095.69,10.8371,0.48525
114000,6,-131.509,-6078.63,9.47425,0.493
115000,10,-123.157,-6099.78,17.5248,0.4945
116000,6,-133.01,-6088.87,7.31066,0.479
117000,9,-133.701,-6112,7.20297,0.51
118000,9,-140.309,-6079.71,10.2781,0.489
119000,9,-130.122,-6106.85,7.64415,0.487
120000,6,-132.74,-6127.88,12.7138,0.465
121000,10,-130.665,-6106.2,11.0619,0.515
122000,3,-123.305,-6109.22,4.78559,0.492583
123000,2,-127.623,-6105.42,2.37262,0.476
124000,5,-130.108,-6108.34,11.1383,0.496
125000,13,-135.167,-6109.77,12.1735,0.49725
126000,7,-124.336,-6087.3,5.15459,0.495667
127000,5,-124.92,-6070.71,5.45427,0.464
128000,6,-125.644,-6082.32,6.6295,0.476
129000,7,-113.498,-6082.07,6.81661,0.471
130000,7,-117.709,-6099.63,2.36392,0.472
131000,9,-111.961,-6082.66,9.59217,0.483
132000,16,-216.895,-5987.78,14.8024,0.463536
133000,10,-195.931,-6017.26,14.6506,0.485
134000,14,-195.812,-6013.36,11.4486,0.43
135000,14,-196.8,-6021.39,13.2799,0.492
136000,6,-118.738,-6099.24,5.43199,0.48525
137000,4,-128.94,-6092.07,8.89246,0.507333
138000,6,-127.256,-6085.19,5.86906,0.4985
139000,8,-121.745,-6081.4,12.4559,0.491
140000,10,-118.829,-6089.6,4.99775,0.481
141000,13,-120.063,-6053.65,10.1665,0.483308
142000,17,-122.225,-6064.39,16.5078,0.481
143000,15,-122.327,-6057.11,11.6835,0.478
144000,18,-122.35,-6055.44,17.9673,0.5
145000,14,-220.238,-6005,10.0639,0.4688
146000,21,-126.597,-6092.9,21.6776,0.498333
147000,23,-222.334,-6023.58,28.8105,0.482
148000,26,-226.364,-6036.26,26.4274,0.481
149000,18,-124.445,-6102.66,21.5996,0.498333
150000,30,-195.333,-6020.12,24.4213,0.473
151000,24,-205.063,-6011.81,28.3794,0.477
152000,27,-207.902,-5984.58,23.9904,0.463
153000,27,-212.716,-6005.23,23.6224,0.476
154000,14,-124.401,-6072.3,13.3874,0.4978
155000,12,-120.101,-6086.08,5.37561,0.4915
156000,10,-122.204,-6070.48,7.0346,0.482
157000,6,-125.289,-6056.89,7.59942,0.501
158000,13,-116.356,-6045.31,13.3278,0.493583
159000,15,-109.861,-6069.16,11.8718,0.454
160000,16,-109.269,-6086.59,13.3607,0.483
161000,14,-111.836,-6078.11,12.7553,0.451
162000,11,-109.302,-6089.31,11.1202,0.478
163000,6,-108.876,-6045.54,3.5747,0.496
164000,3,-123.83,-6057.29,6.29274,0.481
165000,5,-121.659,-6064.6,4.29455,0.497
166000,14,-110.46,-6045.84,11.8477,0.485583
167000,14,-110.317,-6049.81,11.8477,0.48
168000,14,-109.929,-6057.42,8.46664,0.46
169000,18,-205.561,-6036.1,16.0494,0.46875
170000,16,-201.262,-6042.19,20.1884,0.465
171000,16,-205.968,-6021.99,16.3167,0.465
172000,19,-211.636,-6019.21,20.0086,0.449
173000,19,-119.341,-6080.87,11.7563,0.494437
174000,15,-121.613,-6073,17.7882,0.48
175000,15,-123.114,-6098.2,18.9167,0.503
176000,12,-127.304,-6107.79,7.82232,0.472
177000,10,-119.784,-6090.15,13.3923,0.479444
178000,14,-202.206,-6028.41,8.36964,0.463667
179000,9,-128.535,-6103.63,11.6511,0.493667
180000,4,-134.823,-6101.91,5.62229,0.477733
181000,2,-128.446,-6105.83,2.9457,0.488
182000,11,-131.134,-6082.46,20.6162,0.499
183000,10,-131.84,-6091.68,13.1019,0.479
184000,1,-121.842,-6088.76,0.827952,0.494667
185000,11,-133.199,-6086.23,17.354,0.5005
186000,9,-128.38,-6106.39,7.49935,0.503667
187000,14,-122.262,-6092.29,12.1483,0.495
188000,14,-212.687,-6049.21,13.7587,0.4736
189000,10,-124.619,-6094.17,10.5613,0.4985
190000,13,-118.607,-6071.3,15.7225,0.473
191000,12,-120.342,-6090.66,11.3984,0.495
192000,8,-121.518,-6075.08,5.94096,0.472
193000,4,-120.866,-6096.54,3.94751,0.486167
194000,5,-121.093,-6080.63,5.03112,0.454
195000,5,-118.702,-6095.02,2.96452,0.474727
196000,5,-116.823,-6093.81,3.15037,0.525
197000,7,-125.251,-6097.86,13.2858,0.452
198000,5,-116.738,-6094.6,6.84958,0.482
199000,3,-119.993,-6082.63,3.54492,0.489
200000,6,-120.959,-6082.46,4.2411,0.478
201000,19,-195.276,-6022.57,28.4421,0.463077
202000,9,-117.606,-6070.98,9.7564,0.479
203000,5,-119.985,-6087.84,3.18969,0.477
204000,10,-121.024,-6053.73,9.59542,0.48175
205000,15,-116.016,-6073.79,14.2163,0.515
206000,12,-118.023,-6097.04,12.625,0.487
207000,5,-117.805,-6108.33,2.78867,0.48325
208000,17,-116.711,-6094.64,12.0948,0.5065
209000,18,-123.186,-6072.68,13.6947,0.481
210000,0,-129.269,-6097.43,0.779752,0.475
211000,13,-116.085,-6088.29,15.5274,0.5005
212000,20,-112.843,-6077.42,22.1146,0.488
213000,24,-112.062,-6092.8,22.7587,0.485
214000,19,-116.974,-6092.59,25.3181,0.492
215000,3,-125.712,-6113.51,0.81231,0.490905
216000,10,-125.943,-6118.03,10.5516,0.505
217000,8,-125.077,-6113.02,6.856,0.493
218000,12,-126.792,-6108.49,15.1739,0.486
219000,8,-122.164,-6091.36,4.38609,0.484111
220000,12,-116.134,-6107.53,13.0725,0.492
221000,12,-122.192,-6105.45,14.4572,0.479
222000,6,-122.596,-6100.17,3.56206,0.509
223000,10,-123.391,-6085.66,12.5543,0.481
224000,12,-129.819,-6111.41,12.9592,0.493
225000,9,-129.359,-6106.33,5.19622,0.479
226000,8,-123.924,-6140.34,4.28594,0.491
227000,4,-121.593,-6110.61,6.59267,0.497
228000,2,-124.19,-6106.49,0.495002,0.487
229000,4,-130.043,-6125.92,4.08909,0.497727
230000,15,-126.881,-6088.16,7.93868,0.48375
231000,12,-123.365,-6091.52,9.93375,0.472
232000,12,-118.996,-6099.7,9.79079,0.51
233000,5,-132.162,-6115.48,5.83651,0.5045
234000,6,-127.119,-6114.87,6.24652,0.521
235000,11,-215.824,-6074.75,14.4461,0.475118
236000,18,-188.57,-6070.59,17.8963,0.481
237000,3,-130.014,-6115.23,4.14058,0.498778
238000,6,-128.584,-6105.03,8.7255,0.499
239000,5,-122.662,-6134.28,6.12771,0.488
240000,3,-135.437,-6118.55,1.86886,0.504
241000,4,-128.212,-6121.09,4.2305,0.466
242000,1,-120.136,-6099.22,1.93755,0.506
243000,1,-119.034,-6085.11,2.79762,0.47
244000,1,-128.273,-6102.01,2.16087,0.478
245000,8,-124.935,-6043.82,5.1536,0.483077
246000,6,-128.579,-6078.52,7.12812,0.496
247000,6,-125.89,-6056.28,9.49875,0.483
248000,10,-118.304,-6069.33,7.24623,0.482
249000,4,-119.12,-6081.83,2.97128,0.490267
250000,3,-121.56,-6063.67,3.9114,0.457
251000,3,-125.073,-6079.64,3.01779,0.479
252000,6,-121.526,-6080.39,8.10425,0.473
253000,5,-124.601,-6065.62,6.4706,0.483
254000,2,-115.939,-6124.57,1.54022,0.465
255000,2,-129.326,-6101.5,3.20517,0.486
256000,7,-118.1,-6093.61,8.6216,0.476
257000,2,-128.397,-6098.39,1.9954,0.4905
258000,2,-129.809,-6084.4,3.12626,0.486
259000,9,-118.887,-6090.43,12.4321,0.479667
260000,9,-125.807,-6085.32,13.8095,0.475
261000,10,-121.748,-6075.1,9.38797,0.486
262000,7,-122.407,-6054.99,9.01158,0.474
263000,5,-139.091,-6085.53,7.86016,0.481211
264000,8,-129.018,-6080.12,16.6345,0.484
265000,13,-124.661,-6095.62,7.5747,0.497
266000,14,-126.518,-6103.32,16.6688,0.486
267000,17,-130.805,-6117.65,14.4512,0.494
268000,7,-119.207,-6109.04,3.19737,0.4936
269000,14,-124.856,-6090.61,12.9848,0.494143
270000,8,-122.455,-6093.38,6.16228,0.498
271000,5,-122.741,-6115.21,6.87107,0.474
272000,8,-123.791,-6135.05,7.52883,0.479
273000,5,-127.908,-6133.78,4.80959,0.499
274000,4,-141.704,-6108.67,2.97944,0.4982
275000,4,-141.659,-6108.15,4.01023,0.524
276000,9,-128.281,-6114.55,5.92554,0.515
277000,13,-132.132,-6126.25,15.6972,0.496
278000,9,-132.7,-6143.77,12.5439,0.5048
279000,6,-130.879,-6105.27,6.89533,0.493
280000,13,-133.568,-6089.03,14.8747,0.4875
281000,18,-134.824,-6111.48,13.7575,0.474
282000,15,-132.908,-6120.82,21.4729,0.463
283000,23,-120.251,-6100.89,18.9905,0.485
284000,26,-124.861,-6110.13,26.0334,0.498
285000,20,-127.219,-6107.86,18.129,0.502
286000,18,-135.862,-6114.11,19.8592,0.493263
287000,8,-126.689,-6131.15,9.24088,0.490875
288000,12,-134.326,-6128,15.78,0.487
289000,13,-122.968,-6149.5,13.344,0.483
290000,5,-157.628,-6136.84,2.42042,0.489111
291000,7,-155.383,-6147.55,10.2677,0.472
292000,6,-153.12,-6122.62,11.1837,0.51
293000,6,-129.55,-6094.49,4.6142,0.486875
294000,7,-131.02,-6098.88,6.67483,0.478
295000,4,-136.474,-6087.55,6.38659,0.466
296000,11,-131.549,-6109.33,10.4164,0.466
297000,8,-129.222,-6080.52,8.68549,0.483
298000,2,-152.049,-6100.35,2.03997,0.486833
299000,2,-126.44,-6079.66,3.57939,0.485
300000,3,-124.477,-6068.91,4.33928,0.48
301000,7,-124.618,-6094.37,6.03074,0.490167
302000,9,-122.598,-6098.92,6.61903,0.5
303000,10,-122.896,-6067.81,6.45272,0.489
304000,11,-119.129,-6084.88,11.7155,0.518
305000,24,-113.221,-6084.5,15.1448,0.485333
306000,22,-116.128,-6098.87,16.1126,0.525
307000,19,-120.435,-6089.03,16.922,0.49
308000,23,-110.649,-6088.61,20.1114,0.499
309000,18,-108.7,-6104.26,20.4115,0.497
310000,18,-110.344,-6068.99,15.8268,0.508
311000,4,-125.434,-6105.42,3.10074,0.498571
312000,12,-118.577,-6115.24,9.1617,0.4885
313000,3,-124.556,-6117.09,4.56317,0.501
314000,13,-147.334,-6111.59,8.96898,0.494063
315000,5,-122.453,-6119.33,4.29465,0.5055
316000,1,-132.089,-6110.52,2.72327,0.492
317000,4,-148.442,-6101.11,10.1617,0.504667
318000,7,-149.623,-6087.83,8.57734,0.456
319000,5,-135.664,-6093.95,2.82172,0.500667
320000,3,-129.905,-6073.74,0.743814,0.498556
321000,10,-129.861,-6082.21,13.3052,0.509
322000,5,-127.881,-6113.41,5.23857,0.511
323000,5,-128.781,-6123.79,8.00643,0.49
324000,6,-135.029,-6125.96,8.12286,0.501
325000,10,-131.322,-6127.07,8.28567,0.504
326000,5,-127.972,-6128.01,2.70059,0.499429
327000,10,-127.34,-6138.58,7.89292,0.521
328000,8,-122.868,-6101.68,10.3722,0.466
329000,13,-125.854,-6121.8,12.0027,0.501824
330000,5,-132.437,-6102.2,2.95513,0.4988
331000,5,-123.315,-6110.88,6.24181,0.457
332000,3,-121.017,-6099.39,5.02827,0.48
333000,10,-120.503,-6110.72,8.28305,0.474
334000,6,-156.838,-6094,5.02008,0.4835
335000,8,-122.568,-6108.13,7.32327,0.473
336000,7,-125.193,-6099.57,6.64075,0.471
337000,11,-128.91,-6096.17,12.6765,0.476625
338000,6,-122.18,-6111.66,6.1524,0.4765
339000,7,-138.118,-6100.95,5.22032,0.482
340000,9,-128.138,-6106.82,7.86482,0.467
341000,10,-126.16,-6119.11,8.3667,0.488
342000,9,-127.78,-6100.04,10.373,0.505
343000,12,-121.233,-6082.56,7.82181,0.476
344000,10,-119.557,-6061.36,9.48421,0.479
345000,10,-121.778,-6056.82,12.3308,0.492
346000,1,-130.885,-6087.36,1.51743,0.484111
347000,0,-131.134,-6098.38,0.293877,0.465
348000,1,-125.145,-6091.17,3.00603,0.465
349000,0,-128.818,-6086.76,1.32799,0.479
350000,1,-122.177,-6061.78,2.55903,0.442
351000,2,-125.168,-6055.15,1.67657,0.479
352000,0,-123.313,-6070.46,0.265128,0.5
353000,11,-124.229,-6056.35,17.4983,0.477375
354000,6,-121.705,-6080.17,3.65364,0.496
355000,1,-121.071,-6067.6,0.873677,0.429333
356000,5,-121.851,-6043.54,3.51859,0.472
357000,3,-119.721,-6068.37,4.3539,0.452
358000,0,-122.645,-6072.42,2.07764,0.469
359000,8,-117.835,-6077.29,8.99475,0.471
360000,5,-116.452,-6093.67,9.55232,0.5
361000,4,-112.053,-6115.92,3.18732,0.477
362000,11,-146.187,-6111.89,11.2398,0.482286
363000,9,-151.653,-6106.67,4.80335,0.434
364000,11,-145.904,-6095.76,5.33152,0.431
365000,8,-147.126,-6080.2,8.90045,0.509
366000,6,-150.047,-6095.94,4.81731,0.473
367000,6,-144.556,-6095.56,5.80983,0.511
368000,9,-140.019,-6080.02,6.282,0.484
369000,10,-152.286,-6078.51,8.40352,0.493
370000,9,-152.067,-6106.17,10.535,0.513
371000,5,-153.327,-6073.44,5.0549,0.476
372000,3,-119.355,-6102.58,4.13029,0.479364
373000,4,-118.003,-6087.98,1.76012,0.473
374000,18,-120.439,-6078.78,24.3312,0.488189
375000,7,-143.56,-6076.7,6.80362,0.4865
376000,12,-117.516,-6053.34,11.6232,0.477091
377000,10,-120.599,-6065.27,10.7452,0.485
378000,11,-123.05,-6036.93,7.48694,0.491
379000,18,-115.725,-6041.26,18.4169,0.492
380000,16,-111.485,-6040.58,18.2436,0.472
381000,18,-106.965,-6031.72,8.7113,0.491
382000,11,-115.895,-6103.43,8.49823,0.488667
383000,7,-122.518,-6113.87,7.19665,0.529
384000,8,-131.55,-6099.69,7.01204,0.494
385000,16,-159.457,-6108.84,16.5231,0.4893
386000,19,-156.78,-6111.65,14.6087,0.49
387000,5,-123.445,-6088.07,5.65144,0.492667
388000,5,-129.911,-6093.42,4.71215,0.486
389000,3,-125.229,-6111.62,4.90257,0.473
390000,9,-124.7,-6111.79,12.5482,0.479
391000,10,-121.696,-6111.54,9.7195,0.485
392000,5,-123.582,-6104.84,5.14782,0.505
393000,2,-127.85,-6116.91,3.99799,0.493
394000,2,-126.447,-6107.35,3.71756,0.511
395000,9,-121.891,-6095.89,4.3441,0.488571
396000,23,-135.048,-6085.08,29.6319,0.4869
397000,22,-112.775,-6072.3,14.3769,0.506
398000,27,-117.634,-6069.19,28.7571,0.47
399000,17,-125.087,-6093,18.6597,0.486
400000,7,-127.343,-6076.67,9.54707,0.489
401000,8,-128.472,-6081.44,6.70459,0.495
402000,3,-128.957,-6110.83,3.93989,0.506
403000,5,-123.227,-6085.19,4.72239,0.492
404000,8,-117.922,-6073.89,10.1874,0.496
405000,11,-124.165,-6072.24,7.08313,0.475
406000,9,-122.179,-6066.54,8.42433,0.469
407000,7,-125.423,-6084.48,7.58304,0.499
408000,8,-124.338,-6067.77,6.91887,0.468
409000,9,-128.02,-6063.96,6.24688,0.453
410000,11,-123.164,-6057.42,21.5145,0.47
411000,15,-161.445,-6074.77,15.9426,0.485533
412000,15,-150.625,-6066.31,11.0539,0.466
413000,6,-117.731,-6073.75,4.60399,0.496733
414000,9,-108.241,-6081.48,4.41049,0.48925
415000,18,-148.972,-6071.25,20.7399,0.475
416000,6,-118.977,-6050.1,7.04032,0.4475
417000,13,-110.698,-6043.93,11.8079,0.477
418000,10,-114.447,-6049.17,10.8828,0.488
419000,7,-117.115,-6029.08,4.99876,0.496
420000,11,-110.702,-6022.67,12.5995,0.478
421000,14,-109.103,-6071.16,14.4458,0.481
422000,9,-129.602,-6075.79,9.83904,0.484
423000,20,-139.279,-6112.75,26.87,0.48325
424000,22,-133.517,-6129.38,18.1932,0.458
425000,4,-122.256,-6136.78,4.49943,0.48475
426000,18,-146.06,-6104.43,16.8454,0.4925
427000,14,-144.997,-6101.62,10.8661,0.481
428000,8,-134.275,-6118.58,5.94487,0.489
429000,19,-148.363,-6108.91,21.9626,0.4915
430000,20,-146.36,-6067.13,17.5632,0.46
431000,9,-119.863,-6109.57,11.1152,0.479333
432000,4,-131.097,-6120.69,3.70601,0.484
433000,2,-126.792,-6112.11,4.17994,0.481
434000,15,-151.186,-6089.5,19.1414,0.4665
435000,2,-127.038,-6094.95,3.4214,0.486442
436000,10,-123.848,-6100.78,13.908,0.487
437000,13,-126.229,-6089.03,7.9863,0.493
438000,11,-129.968,-6095.71,11.244,0.521
439000,14,-124.397,-6075.56,17.2123,0.487
440000,15,-120.69,-6056.54,19.9642,0.494
441000,23,-141.579,-6055.49,20.2469,0.483714
442000,20,-117.306,-6066.11,15.2848,0.5035
443000,9,-132.13,-6087.54,10.9502,0.484
444000,6,-128.852,-6105.26,5.82033,0.491
445000,4,-131.502,-6110.09,8.45057,0.486
446000,16,-145.346,-6066.59,13.8056,0.484
447000,15,-143.331,-6060.02,17.6844,0.47
448000,1,-127.894,-6080.99,0.649174,0.484231
449000,5,-125.909,-6093.95,0.826702,0.487
450000,5,-124.079,-6087,3.03462,0.493294
451000,7,-118.887,-6049.58,6.23123,0.48
452000,10,-116.703,-6063.51,12.8065,0.482
453000,11,-117.356,-6063.56,13.3252,0.508
454000,17,-117.02,-6087.31,15.3772,0.49
455000,11,-118.915,-6064.7,5.55787,0.491
456000,17,-148.977,-6077.59,25.84,0.478
457000,16,-149.453,-6086.78,19.6228,0.496
458000,18,-150.574,-6091.87,16.5688,0.499
459000,21,-148.026,-6107.75,20.1326,0.487
460000,7,-136.373,-6137.89,5.12899,0.488
461000,13,-126.355,-6136.34,8.32307,0.489063
462000,13,-132.783,-6132.66,11.3913,0.49
463000,13,-126.813,-6108.7,12.6366,0.5175
464000,18,-156.074,-6092.94,25.3487,0.4934
465000,4,-136.818,-6084.7,2.35197,0.507333
466000,4,-113.23,-6103.89,1.46055,0.504
467000,6,-116.238,-6079.51,3.4329,0.482
468000,13,-114.824,-6081.22,15.1391,0.491
469000,2,-129.39,-6123.91,2.84501,0.503889
470000,8,-116.177,-6084.19,13.5028,0.488
471000,9,-114.43,-6075.14,14.0927,0.451
472000,7,-127.176,-6095.43,5.84068,0.453
473000,11,-126.874,-6110.58,8.82149,0.471
474000,10,-118.64,-6105.57,6.7408,0.471
475000,13,-119.986,-6114.12,9.24488,0.496
476000,5,-126.651,-6124.13,10.7555,0.487143
477000,9,-126.201,-6083.51,7.20132,0.4995
478000,7,-124.706,-6090.77,10.9063,0.477
479000,6,-133.092,-6081.94,4.88776,0.49
480000,9,-138.587,-6130.06,7.39938,0.497353
481000,8,-130.729,-6101.05,9.40876,0.5025
482000,8,-126.108,-6109.72,9.10499,0.476
483000,8,-130.8,-6090.41,7.38804,0.461
484000,5,-121.515,-6098.79,4.6913,0.483
485000,11,-131.504,-6079.77,13.3424,0.483
486000,13,-124.599,-6106.76,11.7245,0.483833
487000,11,-127.271,-6114.22,11.3666,0.477
488000,15,-125.55,-6136.86,12.5382,0.508
489000,10,-140.695,-6128.06,15.7534,0.459
490000,6,-145.218,-6116.03,6.33097,0.508
491000,6,-140.224,-6109.07,6.43709,0.476
492000,6,-130.143,-6097.36,4.82118,0.464
493000,3,-130.965,-6093.13,3.66724,0.4801
494000,5,-128.211,-6079.21,6.39013,0.502
495000,9,-135.014,-6088.68,9.54824,0.483
496000,10,-138.494,-6065.79,10.0362,0.493
497000,8,-131.411,-6080.04,7.71913,0.502
498000,16,-150.531,-6078.68,11.9286,0.486647
499000,10,-126.317,-6087.86,13.0953,0.4986
500000,7,-123.66,-6099.71,6.69829,0.481733
501000,11,-127.523,-6073.68,13.7034,0.493
502000,21,-164.309,-6088.56,21.9289,0.4795
503000,8,-125.353,-6090.16,9.92341,0.4715
504000,5,-129.129,-6095.51,2.81072,0.519
505000,25,-150.137,-6095.17,18.4384,0.491333
506000,32,-144.094,-6076.71,33.5677,0.476
507000,28,-142.241,-6069.6,30.0114,0.48
508000,17,-120.15,-6103.08,8.3189,0.495182
509000,30,-142.517,-6062.72,32.6983,0.483
510000,3,-127.108,-6099.28,3.68052,0.496833
511000,2,-132.508,-6106.85,2.16395,0.469
512000,6,-134.039,-6088.58,6.81994,0.487
513000,6,-124.578,-6095.41,3.1107,0.48
514000,11,-119.752,-6054.01,14.5738,0.4895
515000,8,-120.955,-6074.88,10.5071,0.492
516000,14,-118.539,-6072.61,13.5106,0.476
517000,15,-119.671,-6088.2,10.4898,0.494
518000,19,-125.059,-6084.33,15.5738,0.522
519000,32,-142.031,-6061.73,28.464,0.4902
520000,8,-125.729,-6101.19,10.427,0.500286
521000,13,-126.549,-6062.16,8.18523,0.491955
522000,12,-123.048,-6070.07,11.9255,0.512
523000,8,-120.197,-6061.71,3.69905,0.5
524000,26,-158.39,-6071.87,23.1793,0.497
525000,26,-153.411,-6077.9,20.3879,0.483
526000,28,-149.114,-6080.42,20.3824,0.49
527000,32,-159.853,-6055.16,26.3623,0.494
528000,28,-146.884,-6035.5,23.3558,0.458
529000,39,-134.676,-6030.68,33.4263,0.467
530000,39,-139.269,-6022.51,42.7331,0.505
531000,42,-132.937,-6028.41,41.0526,0.489
532000,39,-127.992,-6048.33,34.2529,0.485
533000,40,-126.211,-6060,40.9058,0.471
534000,10,-139.185,-6102.62,15.4667,0.504091
535000,15,-129.556,-6101.92,12.6042,0.497941
536000,24,-138.686,-6073.03,26.9148,0.479667
537000,28,-143.075,-6085.4,34.3684,0.478
538000,10,-134.319,-6092.67,13.0819,0.49125
539000,8,-136.142,-6126.66,12.5974,0.486
540000,4,-141.879,-6116.25,4.11166,0.513
541000,6,-135.366,-6133.03,10.0905,0.495667
542000,15,-127.019,-6120.09,11.4778,0.479
543000,20,-132.871,-6125.74,18.5537,0.488
544000,19,-129.235,-6119.95,17.5152,0.5015
545000,17,-131.16,-6099.77,11.6473,0.496
546000,25,-141.99,-6039.95,31.4409,0.481556
547000,20,-147.155,-6042.44,20.2719,0.496
548000,8,-120.386,-6096.06,4.39704,0.5106
549000,10,-129.971,-6087.61,8.60831,0.474
550000,6,-130.295,-6103.02,7.6681,0.485
551000,18,-144.135,-6067.54,17.3973,0.47825
552000,9,-135.474,-6096.92,7.6195,0.495906
